 H 	 1.2 	 0.37 	255	255	255
 He 	 1.43  	 0.32 	217	255	255
 Li 	 2.12 	 1.34 	204	128	255
 Be 	 1.98 	 0.90 	194	255	0
 B 	 1.91 	 0.82 	255	181	181
 C 	 1.7 	 0.77 	144	144	144
 N 	 1.55 	 0.71 	48	80	248
 O 	 1.52 	 0.73 	255	13	13
 F 	 1.46 	 0.71 	144	224	80
 Ne 	 1.58 	 0.69 	179	227	245
 Na 	 2.50 	 1.54 	171	92	242
 Mg 	 2.51 	 1.30 	138	255	0
 Al 	 2.25 	 1.18 	191	166	166
 Si 	 2.1 	 1.11 	240	200	160
 P 	 1.90 	 1.06 	255	128	0
 S 	 1.82 	 1.02 	255	255	48
 Cl 	 1.82 	 0.99 	31	240	31
 Ar 	 1.83 	 0.97 	128	209	227
 K 	 2.73 	 1.96 	143	64	212
 Ca 	 2.62 	 1.74 	61	255	0
 Sc 	 2.58 	 1.44	230	230	230
 Ti 	 2.46 	 1.36 	191	194	199
 V 	 2.42 	 1.25 	166	166	171
 Cr 	 2.45 	 1.27 	138	153	199
 Mn 	 2.45 	 1.39 	156	122	199
 Fe 	 2.44 	 1.29 	224	102	51
 Co 	 2.40 	 1.26 	240	144	160
 Ni 	 2.50 	 1.21 	80	208	80
 Cu 	 2.38 	 1.38 	200	128	51
 Zn 	 2.39 	 1.31 	125	128	176
 Ga 	 2.32 	 1.26 	194	143	143
 Ge 	 2.29 	 1.22 	102	143	143
 As 	 1.88 	 1.19 	189	128	227
 Se 	 1.82 	 1.16 	255	161	0
 Br 	 1.86 	 1.14 	166	41	41
 Kr 	 2.25 	 1.10 	92	184	209
 Rb 	 3.21 	 2.11 	112	46	176
 Sr 	 2.84 	 1.92 	0	255	0
 Y 	 2.75 	 1.62 	148	255	255
 Zr 	 2.52 	 1.48 	148	224	224
 Nb 	 2.56 	 1.37 	115	194	201
 Mo 	 2.45 	 1.45 	84	181	181
 Tc 	 2.44 	 1.56 	59	158	158
 Ru 	 2.56 	 1.46	36	143	143
 Rh 	 2.44 	 1.35 	10	125	140
 Pd 	 2.15 	 1.31 	0	105	133
 Ag 	 2.53 	 1.53 	192	192	192
 Cd 	 2.49 	 1.48 	255	217	143
 In 	 2.43 	 1.44 	166	117	115
 Sn 	 2.42 	 1.41 	102	128	128
 Sb 	 2.47 	 1.38 	158	99	181
 Te 	 1.99 	 1.35 	212	122	0
 I 	 3.04 	 1.33 	148	0	148
 Xe 	 2.06 	 1.30 	66	158	176
 Cs 	 3.48 	 2.55 	209	0	79
 Ba 	 3.03 	 1.98 	209	0	79
La	 1.2 	 0.37 	209	0	79
Ce	 1.2 	 0.37 	209	0	79
Pr	 1.2 	 0.37 	209	0	79
Nd	 1.2 	 0.37 	209	0	79
Pm	 1.2 	 0.37 	209	0	79
Sm	 1.2 	 0.37 	209	0	79
Eu	 1.2 	 0.37 	209	0	79
Gd	 1.2 	 0.37 	209	0	79
Tb	 1.2 	 0.37 	209	0	79
Dy	 1.2 	 0.37 	209	0	79
Ho	 1.2 	 0.37 	209	0	79
Er	 1.2 	 0.37 	209	0	79
Tm	 1.2 	 0.37 	209	0	79
Yb	 1.2 	 0.37 	209	0	79
Lu	 1.2 	 0.37 	209	0	79
Hf	 1.2 	 0.37 	209	0	79
Ta	 1.2 	 0.37 	209	0	79
 W	 2.49 	 1.46 	33	148	214
 Re	 2.48 	 1.59 	38	125	171
 Os	 2.41 	 1.28 	38	102	150
 Ir	 2.29 	 1.37 	23	84	135
 Pt	 2.32 	 1.28 	208	208	224
 Au	 2.45 	 1.44 	255	209	25
 Hg	 2.47 	 1.49 	184	184	208
 Tl	 2.60 	 1.48 	166	84	77
 Pb	 2.54 	 1.47 	87	89	97
Bi	 1.2 	 0.37 	209	0	79
Po	 1.2 	 0.37 	209	0	79
At	 1.2 	 0.37 	209	0	79
Rn	 1.2 	 0.37 	209	0	79
Fr	 1.2 	 0.37 	209	0	79
Ra	 1.2 	 0.37 	209	0	79
Ac	 1.2 	 0.37 	209	0	79
Th	 1.2 	 0.37 	209	0	79
Pa	 1.2 	 0.37 	209	0	79
U	 1.2 	 0.37 	209	0	79
Np	 1.2 	 0.37 	209	0	79
Pu	 1.2 	 0.37 	209	0	79
Am	 1.2 	 0.37 	209	0	79
Cm	 1.2 	 0.37 	209	0	79
Bk	 1.2 	 0.37 	209	0	79
Cf	 1.2 	 0.37 	209	0	79
Es	 1.2 	 0.37 	209	0	79
Fm	 1.2 	 0.37 	209	0	79
Md	 2.1 	 1.11 	97	135	136
No	 2.1 	 1.11 	178	154	154
103	 2.1 	 1.11 	219	99	47
104	 2.1 	 1.11 	175	154	153
105	 2.1 	 1.11 	255	0	0
106	 2.1 	 1.11 	0	255	0
107	 2.1 	 1.11 	239	155	0
#https://www.webelements.com/hydrogen/atom_sizes.html van der Waals radius Covalent radius (empirical)
#
